IDP_type	IDP	model_name	Spearman	Pearson	R2	is_kept
dMRI	IDP-25510	ridge	0.162159002695913	0.166573803314489	0.0277453804664468	TRUE
dMRI	IDP-25511	ridge	0.125010901665805	0.126174516907788	0.0159195202172112	TRUE
dMRI	IDP-25512	ridge	0.129563899771269	0.13162188504877	0.0172860645342281	TRUE
dMRI	IDP-25513	ridge	0.112953357654271	0.119323031126203	0.0142044736612773	TRUE
dMRI	IDP-25514	ridge	0.113756786130356	0.117697992132847	0.0138383442425658	TRUE
dMRI	IDP-25515	ridge	0.0411227458305943	0.0434715667496381	0.00185989806712294	FALSE
dMRI	IDP-25516	ridge	0.054126694218874	0.0537066681934359	0.00285618380616826	FALSE
dMRI	IDP-25517	ridge	0.122868652593272	0.125873825484052	0.0157093524890501	TRUE
dMRI	IDP-25518	ridge	0.10689820791235	0.109505325519247	0.0119680637932236	TRUE
dMRI	IDP-25519	ridge	0.0710885576948726	0.0707639296572543	0.00499876094108509	FALSE
dMRI	IDP-25520	ridge	0.0768750167214064	0.0783033627342077	0.00575285089252364	FALSE
dMRI	IDP-25521	ridge	0.0654749801411944	0.0658547648587984	0.00429611926336304	FALSE
dMRI	IDP-25522	ridge	0.0892387676806553	0.0828228767465986	0.00685096907551686	FALSE
dMRI	IDP-25523	ridge	0.0703318792148509	0.0658746687457454	0.00429693611447546	FALSE
dMRI	IDP-25524	ridge	0.0732206349890248	0.0735901148063765	0.00541444389267132	FALSE
dMRI	IDP-25525	ridge	0.132605934125791	0.132100434917062	0.0174303624661251	TRUE
dMRI	IDP-25526	ridge	0.100395729625228	0.105887459384645	0.0111539408498755	TRUE
dMRI	IDP-25527	ridge	0.0633106318773203	0.0645161063293861	0.00412729868590256	FALSE
dMRI	IDP-25528	ridge	0.056381262824461	0.0596334095851641	0.00355386370735966	FALSE
dMRI	IDP-25529	ridge	0.0709105170667933	0.074615411774233	0.00533921551059746	FALSE
dMRI	IDP-25530	ridge	0.0891676849995867	0.0886703759718213	0.00781879561964083	FALSE
dMRI	IDP-25531	ridge	0.0530061524667763	0.0551043717993355	0.00302766189656389	FALSE
dMRI	IDP-25532	ridge	0.0464950997017084	0.0475512073655442	0.00221983644728729	FALSE
dMRI	IDP-25533	ridge	0.0559985423278243	0.0509104043184106	0.00258914636286589	FALSE
dMRI	IDP-25534	ridge	0.0843709248046533	0.08393493758622	0.00645377147741388	FALSE
dMRI	IDP-25535	ridge	0.0708848237458677	0.0735714084323391	0.00519551778797689	FALSE
dMRI	IDP-25536	ridge	0.108310544196631	0.110529316572719	0.0122110769279318	TRUE
dMRI	IDP-25537	ridge	0.132199195336679	0.135248659575101	0.0178419077833801	TRUE
dMRI	IDP-25538	ridge	0.084942662013938	0.0829447717289415	0.00676421448669462	FALSE
dMRI	IDP-25539	ridge	0.0733579452122455	0.0741290106774943	0.00528621332045032	FALSE
dMRI	IDP-25540	ridge	0.0911336621885532	0.0954228838141549	0.00882718841959096	FALSE
dMRI	IDP-25541	ridge	0.096057266472014	0.0992170612837416	0.00965424639527768	FALSE
dMRI	IDP-25542	ridge	0.076255917572247	0.0727562073768331	0.00529338560371861	FALSE
dMRI	IDP-25543	ridge	0.0592161762560041	0.0610768288345286	0.00372542255604469	FALSE
dMRI	IDP-25544	ridge	0.11977462278287	0.123152758573998	0.0151039285399198	TRUE
dMRI	IDP-25545	ridge	0.120645101938798	0.124767409962152	0.0154559683779089	TRUE
dMRI	IDP-25546	ridge	0.078653019235342	0.0759969038266739	0.00572145528416457	FALSE
dMRI	IDP-25547	ridge	0.102358767607848	0.105229419773575	0.0110275022255091	TRUE
dMRI	IDP-25548	ridge	0.0807405816542843	0.0863176657217821	0.00672258900265343	FALSE
dMRI	IDP-25549	ridge	0.0621264782913906	0.0653793342490249	0.0042385732807565	FALSE
dMRI	IDP-25550	ridge	0.0970218788138894	0.098146833254328	0.00958905912906249	FALSE
