ukb_field	n2018_id
25199	IDP_dMRI_TBSS_MO_Tapetum_L
25200	IDP_dMRI_TBSS_L1_Middle_cerebellar_peduncle
25201	IDP_dMRI_TBSS_L1_Pontine_crossing_tract
25202	IDP_dMRI_TBSS_L1_Genu_of_corpus_callosum
25203	IDP_dMRI_TBSS_L1_Body_of_corpus_callosum
25204	IDP_dMRI_TBSS_L1_Splenium_of_corpus_callosum
25205	IDP_dMRI_TBSS_L1_Fornix
25206	IDP_dMRI_TBSS_L1_Corticospinal_tract_R
25207	IDP_dMRI_TBSS_L1_Corticospinal_tract_L
25208	IDP_dMRI_TBSS_L1_Medial_lemniscus_R
25209	IDP_dMRI_TBSS_L1_Medial_lemniscus_L
25210	IDP_dMRI_TBSS_L1_Inferior_cerebellar_peduncle_R
25211	IDP_dMRI_TBSS_L1_Inferior_cerebellar_peduncle_L
25212	IDP_dMRI_TBSS_L1_Superior_cerebellar_peduncle_R
25213	IDP_dMRI_TBSS_L1_Superior_cerebellar_peduncle_L
25214	IDP_dMRI_TBSS_L1_Cerebral_peduncle_R
25215	IDP_dMRI_TBSS_L1_Cerebral_peduncle_L
25216	IDP_dMRI_TBSS_L1_Anterior_limb_of_internal_capsule_R
25217	IDP_dMRI_TBSS_L1_Anterior_limb_of_internal_capsule_L
25218	IDP_dMRI_TBSS_L1_Posterior_limb_of_internal_capsule_R
25219	IDP_dMRI_TBSS_L1_Posterior_limb_of_internal_capsule_L
25220	IDP_dMRI_TBSS_L1_Retrolenticular_part_of_internal_capsule_R
25221	IDP_dMRI_TBSS_L1_Retrolenticular_part_of_internal_capsule_L
25222	IDP_dMRI_TBSS_L1_Anterior_corona_radiata_R
25223	IDP_dMRI_TBSS_L1_Anterior_corona_radiata_L
25224	IDP_dMRI_TBSS_L1_Superior_corona_radiata_R
25225	IDP_dMRI_TBSS_L1_Superior_corona_radiata_L
25226	IDP_dMRI_TBSS_L1_Posterior_corona_radiata_R
25227	IDP_dMRI_TBSS_L1_Posterior_corona_radiata_L
25228	IDP_dMRI_TBSS_L1_Posterior_thalamic_radiation_R
25229	IDP_dMRI_TBSS_L1_Posterior_thalamic_radiation_L
25230	IDP_dMRI_TBSS_L1_Sagittal_stratum_R
25231	IDP_dMRI_TBSS_L1_Sagittal_stratum_L
25232	IDP_dMRI_TBSS_L1_External_capsule_R
25233	IDP_dMRI_TBSS_L1_External_capsule_L
25234	IDP_dMRI_TBSS_L1_Cingulum_cingulate_gyrus_R
25235	IDP_dMRI_TBSS_L1_Cingulum_cingulate_gyrus_L
25236	IDP_dMRI_TBSS_L1_Cingulum_hippocampus_R
25237	IDP_dMRI_TBSS_L1_Cingulum_hippocampus_L
25238	IDP_dMRI_TBSS_L1_Fornix_cres+Stria_terminalis_R
25239	IDP_dMRI_TBSS_L1_Fornix_cres+Stria_terminalis_L
25240	IDP_dMRI_TBSS_L1_Superior_longitudinal_fasciculus_R
25241	IDP_dMRI_TBSS_L1_Superior_longitudinal_fasciculus_L
25242	IDP_dMRI_TBSS_L1_Superior_fronto-occipital_fasciculus_R
25243	IDP_dMRI_TBSS_L1_Superior_fronto-occipital_fasciculus_L
25244	IDP_dMRI_TBSS_L1_Uncinate_fasciculus_R
25245	IDP_dMRI_TBSS_L1_Uncinate_fasciculus_L
25246	IDP_dMRI_TBSS_L1_Tapetum_R
25247	IDP_dMRI_TBSS_L1_Tapetum_L
25248	IDP_dMRI_TBSS_L2_Middle_cerebellar_peduncle
25249	IDP_dMRI_TBSS_L2_Pontine_crossing_tract
25250	IDP_dMRI_TBSS_L2_Genu_of_corpus_callosum
25251	IDP_dMRI_TBSS_L2_Body_of_corpus_callosum
25252	IDP_dMRI_TBSS_L2_Splenium_of_corpus_callosum
25253	IDP_dMRI_TBSS_L2_Fornix
25254	IDP_dMRI_TBSS_L2_Corticospinal_tract_R
25255	IDP_dMRI_TBSS_L2_Corticospinal_tract_L
25256	IDP_dMRI_TBSS_L2_Medial_lemniscus_R
25257	IDP_dMRI_TBSS_L2_Medial_lemniscus_L
25258	IDP_dMRI_TBSS_L2_Inferior_cerebellar_peduncle_R
25259	IDP_dMRI_TBSS_L2_Inferior_cerebellar_peduncle_L
25260	IDP_dMRI_TBSS_L2_Superior_cerebellar_peduncle_R
25261	IDP_dMRI_TBSS_L2_Superior_cerebellar_peduncle_L
25262	IDP_dMRI_TBSS_L2_Cerebral_peduncle_R
25263	IDP_dMRI_TBSS_L2_Cerebral_peduncle_L
25264	IDP_dMRI_TBSS_L2_Anterior_limb_of_internal_capsule_R
25265	IDP_dMRI_TBSS_L2_Anterior_limb_of_internal_capsule_L
25266	IDP_dMRI_TBSS_L2_Posterior_limb_of_internal_capsule_R
25267	IDP_dMRI_TBSS_L2_Posterior_limb_of_internal_capsule_L
25268	IDP_dMRI_TBSS_L2_Retrolenticular_part_of_internal_capsule_R
25269	IDP_dMRI_TBSS_L2_Retrolenticular_part_of_internal_capsule_L
25270	IDP_dMRI_TBSS_L2_Anterior_corona_radiata_R
25271	IDP_dMRI_TBSS_L2_Anterior_corona_radiata_L
25272	IDP_dMRI_TBSS_L2_Superior_corona_radiata_R
25273	IDP_dMRI_TBSS_L2_Superior_corona_radiata_L
25274	IDP_dMRI_TBSS_L2_Posterior_corona_radiata_R
25275	IDP_dMRI_TBSS_L2_Posterior_corona_radiata_L
25276	IDP_dMRI_TBSS_L2_Posterior_thalamic_radiation_R
25277	IDP_dMRI_TBSS_L2_Posterior_thalamic_radiation_L
25278	IDP_dMRI_TBSS_L2_Sagittal_stratum_R
25279	IDP_dMRI_TBSS_L2_Sagittal_stratum_L
25280	IDP_dMRI_TBSS_L2_External_capsule_R
25281	IDP_dMRI_TBSS_L2_External_capsule_L
25282	IDP_dMRI_TBSS_L2_Cingulum_cingulate_gyrus_R
25283	IDP_dMRI_TBSS_L2_Cingulum_cingulate_gyrus_L
25284	IDP_dMRI_TBSS_L2_Cingulum_hippocampus_R
25285	IDP_dMRI_TBSS_L2_Cingulum_hippocampus_L
25286	IDP_dMRI_TBSS_L2_Fornix_cres+Stria_terminalis_R
25287	IDP_dMRI_TBSS_L2_Fornix_cres+Stria_terminalis_L
25288	IDP_dMRI_TBSS_L2_Superior_longitudinal_fasciculus_R
25289	IDP_dMRI_TBSS_L2_Superior_longitudinal_fasciculus_L
25290	IDP_dMRI_TBSS_L2_Superior_fronto-occipital_fasciculus_R
25291	IDP_dMRI_TBSS_L2_Superior_fronto-occipital_fasciculus_L
25292	IDP_dMRI_TBSS_L2_Uncinate_fasciculus_R
25293	IDP_dMRI_TBSS_L2_Uncinate_fasciculus_L
25294	IDP_dMRI_TBSS_L2_Tapetum_R
25295	IDP_dMRI_TBSS_L2_Tapetum_L
25296	IDP_dMRI_TBSS_L3_Middle_cerebellar_peduncle
25297	IDP_dMRI_TBSS_L3_Pontine_crossing_tract
25298	IDP_dMRI_TBSS_L3_Genu_of_corpus_callosum
25299	IDP_dMRI_TBSS_L3_Body_of_corpus_callosum
25300	IDP_dMRI_TBSS_L3_Splenium_of_corpus_callosum
25301	IDP_dMRI_TBSS_L3_Fornix
25302	IDP_dMRI_TBSS_L3_Corticospinal_tract_R
25303	IDP_dMRI_TBSS_L3_Corticospinal_tract_L
25304	IDP_dMRI_TBSS_L3_Medial_lemniscus_R
25305	IDP_dMRI_TBSS_L3_Medial_lemniscus_L
25306	IDP_dMRI_TBSS_L3_Inferior_cerebellar_peduncle_R
25307	IDP_dMRI_TBSS_L3_Inferior_cerebellar_peduncle_L
25308	IDP_dMRI_TBSS_L3_Superior_cerebellar_peduncle_R
25309	IDP_dMRI_TBSS_L3_Superior_cerebellar_peduncle_L
25310	IDP_dMRI_TBSS_L3_Cerebral_peduncle_R
25311	IDP_dMRI_TBSS_L3_Cerebral_peduncle_L
25312	IDP_dMRI_TBSS_L3_Anterior_limb_of_internal_capsule_R
25313	IDP_dMRI_TBSS_L3_Anterior_limb_of_internal_capsule_L
25314	IDP_dMRI_TBSS_L3_Posterior_limb_of_internal_capsule_R
25315	IDP_dMRI_TBSS_L3_Posterior_limb_of_internal_capsule_L
25316	IDP_dMRI_TBSS_L3_Retrolenticular_part_of_internal_capsule_R
25317	IDP_dMRI_TBSS_L3_Retrolenticular_part_of_internal_capsule_L
